UnitID	datasetName	KindOfUnit	TypeStatus	FullScientificName	storage:Institution	storage:Building	storage:ContainerStorage	storage:Column	storage:ContainerName	storage:ContainerType	storage:SubContainerStorage	Property1	PropertyValue1	Property2	PropertyValue2	Property3	PropertyValue3	Property4	PropertyValue4	Property5	PropertyValue5	Property6	PropertyValue6	Property7	PropertyValue7	Property8	PropertyValue8	Notes
RMCA_ENT_139_BOX_35	DIPTERAE	specimen		Afroestricus chiastoneurus	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroestricus chiastoneurus 	author_in_source_species	Speiser									
RMCA ENT 000011967	DIPTERAE	specimen	Holotype	Afroestricus garambensis	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroestricus garambensis 	author_in_source_species	Oldroyd	ht_dorsal_view	RMCA ENT 000011967 DV	ht_head_front_view	RMCA ENT 000011967 HV	ht_lateral_view	RMCA ENT 000011967 LV	ht_labels	RMCA ENT 000011967 LB	
RMCA_ENT_139_BOX_35	DIPTERAE	specimen	Paratype	Afroestricus garambensis	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroestricus garambensis 	author_in_source_species	Oldroyd									
RMCA_ENT_139_BOX_35	DIPTERAE	specimen		Afroestricus macroscelis	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroestricus macroscelis 	author_in_source_species	Bezzi									
RMCA_ENT_139_BOX_35	DIPTERAE	specimen		Afroestricus minutus	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroestricus minutus 	author_in_source_species	Bromley									
RMCA_ENT_139_BOX_35	DIPTERAE	specimen	Paratype	Afroestricus varipes	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroestricus varipes 	author_in_source_species	Curran									
RMCA_ENT_139_BOX_35	DIPTERAE	specimen		Afroestricus varipes	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroestricus varipes 	author_in_source_species	Curran									
RMCA_ENT_139_BOX_36	DIPTERAE	specimen		Afroestricus velatus	Royal Museum for Central Africa	Colonial Palace	box	139	36	dry		taxonomy_source	gbif	author_gbif	"Scarbrough, 2005"	name_in_source	Afroestricus velatus 	author_in_source_species	Scarbrough									
RMCA_ENT_139_BOX_36	DIPTERAE	specimen	Paratype	Afroestricus velatus	Royal Museum for Central Africa	Colonial Palace	box	139	36	dry		taxonomy_source	gbif	author_gbif	"Scarbrough, 2005"	name_in_source	Afroestricus velatus 	author_in_source_species	Scarbrough									
RMCA ENT 000011983	DIPTERAE	specimen	Holotype	Afroestricus verutus	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	gbif	author_gbif	"Scarbrough, 2005"	name_in_source	Afroestricus verutus 	author_in_source_species	Scarbrough	ht_dorsal_view	RMCA ENT 000011983 DV	ht_head_front_view	RMCA ENT 000011983 HV	ht_lateral_view	RMCA ENT 000011983 LV	ht_labels	RMCA ENT 000011983 LB	
RMCA_ENT_139_BOX_35	DIPTERAE	specimen	Paratype	Afroestricus verutus	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	gbif	author_gbif	"Scarbrough, 2005"	name_in_source	Afroestricus verutus 	author_in_source_species	Scarbrough									
RMCA_ENT_139_BOX_35	DIPTERAE	specimen	Paratype	Afroestricus vittatus	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroestricus vittatus 	author_in_source_species	Curran									
RMCA_ENT_139_BOX_35	DIPTERAE	specimen		Afroestricus vittatus	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroestricus vittatus 	author_in_source_species	Curran									
RMCA_ENT_139_BOX_35	DIPTERAE	specimen		Afroestricus vorax	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	gbif	author_gbif	"Scarbrough, 2005"	name_in_source	Afroestricus vorax 	author_in_source_species	Scarbrough									
RMCA ENT 000011977	DIPTERAE	specimen	Holotype	Afroestricus vorax	Royal Museum for Central Africa	Colonial Palace	box	139	35	dry		taxonomy_source	gbif	author_gbif	"Scarbrough, 2005"	name_in_source	Afroestricus vorax 	author_in_source_species	Scarbrough	ht_dorsal_view	RMCA ENT 000011977 DV	ht_head_front_view	RMCA ENT 000011977 HV	ht_lateral_view	RMCA ENT 000011977 LV	ht_labels	RMCA ENT 000011977 LB	
RMCA_ENT_139_BOX_11	DIPTERAE	specimen		Afromochtherus atrox	Royal Museum for Central Africa	Colonial Palace	box	139	11	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afromochtherus (=Neomochtarus?) atrox 	author_in_source_species	Tsacas									
RMCA ENT 000011915	DIPTERAE	specimen	Holotype	Afromochtherus atrox	Royal Museum for Central Africa	Colonial Palace	box	139	11	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afromochtherus (=Neomochtarus?) atrox 	author_in_source_species	Tsacas	ht_dorsal_view	RMCA ENT 000011915 DV	ht_head_front_view	RMCA ENT 000011915 HV	ht_lateral_view	RMCA ENT 000011915 LV	ht_labels	RMCA ENT 000011915 LB	
RMCA_ENT_143_BOX_1	DIPTERAE	specimen		Afrosyrphus varipes	Royal Museum for Central Africa	Colonial Palace	box	143	1	dry		taxonomy_source	gbif	author_gbif	"Curran, 1927"	name_in_source	Afrosyrphus varipes 	author_in_source_species	Curran									
RMCA ENT 000016800	DIPTERAE	specimen	Holotype	Afroxanthandrus longipilus	Royal Museum for Central Africa	Colonial Palace	box	143	37	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Afroxanthandrus longipilus 	author_in_source_species	Kassebeer	ht_dorsal_view	RMCA ENT 000016800 DV	ht_head_front_view	RMCA ENT 000016800 HV	ht_lateral_view	RMCA ENT 000016800 LV	ht_labels	RMCA ENT 000016800 LB	prêt
RMCA_ENT_139_BOX_1	DIPTERAE	specimen		Alcimus rubiginosus	Royal Museum for Central Africa	Colonial Palace	box	139	1	dry		taxonomy_source	gbif	author_gbif	"Gerstaecker, 1871"	name_in_source	Alcimus rubiginosus 	author_in_source_species	Gerstraecker									
RMCA_ENT_143_BOX_1	DIPTERAE	specimen		Allograpta calopoides	Royal Museum for Central Africa	Colonial Palace	box	143	1	dry		taxonomy_source	gbif	author_gbif	"(Curran, 1938)"	name_in_source	Allograpta calopoides 	author_in_source_species	Curran									
RMCA_ENT_143_BOX_1	DIPTERAE	specimen		Allograpta calopus	Royal Museum for Central Africa	Colonial Palace	box	143	1	dry		taxonomy_source	gbif	author_gbif	"(Loew, 1858)"	name_in_source	Allograpta calopus 	author_in_source_species	Loew									
RMCA_ENT_143_BOX_1	DIPTERAE	specimen		Allograpta hypoxantha	Royal Museum for Central Africa	Colonial Palace	box	143	1	dry		taxonomy_source	gbif	author_gbif	"(Bezzi, 1923)"	name_in_source	Allograpta hypoxantha 	author_in_source_species	Bezzi									
RMCA_ENT_143_BOX_1	DIPTERAE	specimen		Allograpta nasuta	Royal Museum for Central Africa	Colonial Palace	box	143	1	dry		taxonomy_source	gbif	author_gbif	"(Macquart, 1842)"	name_in_source	Allograpta nasuta 	author_in_source_species	Macquart									
RMCA_ENT_143_BOX_1	DIPTERAE	specimen		Allograpta varipes	Royal Museum for Central Africa	Colonial Palace	box	143	1	dry		taxonomy_source	gbif	author_gbif	"(Curran, 1927)"	name_in_source	Allograpta varipes 	author_in_source_species	Curran									
RMCA_ENT_161_BOX_11	DIPTERAE	specimen		Allothelaira diaphana	Royal Museum for Central Africa	Colonial Palace	box	161	11	dry		taxonomy_source	gbif	author_gbif	"Villeneuve, 1915"	name_in_source	Allothelaira diaphana 	author_in_source_species	Vill.									
RMCA_ENT_161_BOX_1	DIPTERAE	specimen	Paratype	Alophora cana	Royal Museum for Central Africa	Colonial Palace	box	161	1	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Alophora cana 	author_in_source_species	Sun									
RMCA_ENT_161_BOX_1	DIPTERAE	specimen		Alophora nasalis 	Royal Museum for Central Africa	Colonial Palace	box	161	1	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Alophora nasalis (=nigeriensis) 	author_in_source_species	Bezzi (Vill.)									
RMCA ENT 000012025	DIPTERAE	specimen	Holotype	Amesiomima fulvella	Royal Museum for Central Africa	Colonial Palace	box	161	11	dry		taxonomy_source	gbif	author_gbif	"Mesnil, 1950"	name_in_source	Amesiomima fulvella 	author_in_source_species	Mesnil	ht_dorsal_view	RMCA ENT 000012025 DV	ht_head_front_view	RMCA ENT 000012025 HV	ht_lateral_view	RMCA ENT 000012025 LV	ht_labels	RMCA ENT 000012025 LB	
RMCA_ENT_139_BOX_29	DIPTERAE	specimen		Ammophilomima auripennis	Royal Museum for Central Africa	Colonial Palace	box	139	29	dry		taxonomy_source	gbif	author_gbif	"Janssens, 1953"	name_in_source	Ammophilomima auripennis 	author_in_source_species	Janssens									
RMCA ENT 000011969	DIPTERAE	specimen	Holotype	Ammophilomima basilewskyi	Royal Museum for Central Africa	Colonial Palace	box	139	29	dry		taxonomy_source	gbif	author_gbif	"Janssens, 1953"	name_in_source	Ammophilomima basilewskyi 	author_in_source_species	Janssens	ht_dorsal_view	RMCA ENT 000011969 DV	ht_head_front_view	RMCA ENT 000011969 HV	ht_lateral_view	RMCA ENT 000011969 LV	ht_labels	RMCA ENT 000011969 LB	
RMCA_ENT_139_BOX_29	DIPTERAE	specimen		Ammophilomima eumenoides	Royal Museum for Central Africa	Colonial Palace	box	139	29	dry		taxonomy_source	gbif	author_gbif	"Janssens, 1953"	name_in_source	Ammophilomima eumenoides 	author_in_source_species	Janssens									
RMCA_ENT_139_BOX_29	DIPTERAE	specimen	Paratype	Ammophilomima evanescens	Royal Museum for Central Africa	Colonial Palace	box	139	29	dry		taxonomy_source	gbif	author_gbif	"Janssens, 1953"	name_in_source	Ammophilomima evanescens 	author_in_source_species	Janssens									
RMCA_ENT_139_BOX_29	DIPTERAE	specimen	Paratype	Ammophilomima ghesquierei	Royal Museum for Central Africa	Colonial Palace	box	139	29	dry		taxonomy_source	gbif	author_gbif	"Janssens, 1953"	name_in_source	Ammophilomima ghesquierei 	author_in_source_species	Janssens									
RMCA ENT 000011959	DIPTERAE	specimen	Holotype	Ammophilomima montana	Royal Museum for Central Africa	Colonial Palace	box	139	29	dry		taxonomy_source	gbif	author_gbif	"Janssens, 1955"	name_in_source	Ammophilomima montana 	author_in_source_species	Janssens	ht_dorsal_view	RMCA ENT 000011959 DV	ht_head_front_view	RMCA ENT 000011959 HV	ht_lateral_view	RMCA ENT 000011959 LV	ht_labels	RMCA ENT 000011959 LB	
RMCA_ENT_139_BOX_29	DIPTERAE	specimen	Paratype	Ammophilomima straeleni	Royal Museum for Central Africa	Colonial Palace	box	139	29	dry		taxonomy_source	gbif	author_gbif	"Janssens, 1953"	name_in_source	Ammophilomima straeleni 	author_in_source_species	Janssens									
RMCA_ENT_143_BOX_1	DIPTERAE	specimen		Amphoterus cribratus	Royal Museum for Central Africa	Colonial Palace	box	143	1	dry		taxonomy_source	gbif	author_gbif	"Bezzi, 1915"	name_in_source	Amphoterus cribratus 	author_in_source_species	Bezzi									prêt
