Taxon_Notes	IdentifiedBy	IdentificationDay	IdentificationMonth	IdentificationYear	TypeStatus	Identification_Notes	ParasiteSpecies	ParasiteIdentifier	HostSpecies	HostIdentifier	UnitID	additionalID	collection_imported	accessionNumber	label_created_by	media_files	Notes	acquisitionType 	acquiredFrom	acquisitionDay	acquisitionMonth	acquisitionYear	Acquisition_Notes	sex	lifeStage	maleCount	femaleCount	juvenileCount	totalNumber	notes_Counts	sampling_code	building	floor	room	row	column	shelf	specimen_status	KindOfUnit 	ContainerName	ContainerType	ContainerStorage	SubcontainerName	SubcontainerType	SubcontainerStorage	StorageNotes	DNA_Tag	DNA_box	DNA_tube	DNA_HPos	DNA_VPos	DNA_Notes	FullScientificName	secondary	collectedBy	samplingMethod	expedition_project	collectionStartDay	collectionStartMonth	collectionStartYear	collectionStartTimeH	collectionStartTimeM	collectionEndDay	collectionEndMonth	collectionEndYear	collectionEndTimeH	collectionEndTimeM
					Plesiotype						IRSNB M 0144a-c		Delheid	8289			Collection Delheid														IRSNB M 0144a-c								M 144a: L M1/; M 144b: 18th thoracic vertebra; M 144c: L M5/														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0145a-f			5222																	IRSNB M 0141a-b								M 145a: 17th caudal vertebra; M 145b: right humerus; M 145c: right ulna & radius; M 145d: 2nd metacarpal; M 145e: 3rd metacarpal; M 145f: 4th metacarpal														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0146a-b		Delheid	8289			Collection Delheid														IRSNB M 0144a-c								M 146a: 10th thoracic vertebra; M 146b: left humerus juvenile														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0147a-b		De Pauw	8516			Collection De Pauw														IRSNB M 0147a-b								M 147a: R M/3; M 147b: L M3/														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0148a-d			8264																	IRSNB M 0147a-b								M 148a: incisor; M 148b: upper premolar; M 148c: R /dM; M 148d: R /M1														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0149		Delheid	8289			Collection Delheid														IRSNB M 0149								L M3/														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0150a-c			6286																	IRSNB M 0150a-c								M 150a: 6th thoracic vertebra; M 150b: 11th thoracic vertebra; M 150c: 18th thoracic vertebra														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0151a-d		Delheid	8289			Collection Delheid														IRSNB M 0151a-d								M 151a: fragment of maxilla + M/5; M 151b: fragment of pterygoid; M 151c: frontal; M 151d: fragment of sphenoid														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0152			17172																	IRSNB M 0152								fragment of skull (basicranium and part of the frontal)														Halitherium schinzii forme delheidi	part-A													
					Holotype						IRSNB M 0153a-c			17172																	IRSNB M 0153a-c								M 153a: base of skull; M 153b: caudal vertebra; M 153c: thoracic vertebra (manquerait)														Crassitherium robustum	part-A													
					Figured specimen						IRSNB M 0154			17172																	IRSNB M 0154								R scaphoid														Odobenus rosmarus	part-A													
					Figured specimen						IRSNB M 0155			17172																	IRSNB M 0155								12th thoracic vertebra														Odobenus rosmarus	part-A													
					Plesiotype						IRSNB M 0156			17172																	IRSNB M 0156								R dentary fragment														Trichecodon koninckii	part-A													
					Plesiotype						IRSNB M 0157			17172																	IRSNB M 0157								L humeri epiphyses														Trichecodon koninckii	part-A													
					Plesiotype						IRSNB M 0158a-c			17172																	IRSNB M 0156								M 158a: R ilium; M 158b: 1st rib; M 158c: sternum fragment														Trichecodon koninckii	part-A													
					Plesiotype						IRSNB M 0159			17172																	IRSNB M 0159								Sacrum														Trichecodon koninckii	part-A													
					Figured specimen						IRSNB M 0160a-c			17172																	IRSNB M 0160a-c								M 160a: skull; M 160b: mandibule; M 160c: skeleton														Mammuthus primigenius	part-A													
					Plesiotype						IRSNB M 0161a-c			17172																	IRSNB M 0161a-c								M 161a: 1st metacarpian; M 161b: 2nd metacarpian; M 161c: 1st L metacarpian														Trichecodon koninckii	part-A													
					Plesiotype						IRSNB M 0162a-b		De Pauw	8516			Collection De Pauw														IRSNB M 0141a-b								M 162a: Fragment of skull; M 162b: Fragment of mandible														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0163			17172																	IRSNB M 0173a-c								1st phalanx														Trichecodon koninckii	part-A													
					Plesiotype						IRSNB M 0164			17172																	IRSNB M 0891								6th cervical vertebra														Trichecodon koninckii	part-A													
					Plesiotype						IRSNB M 0165			6500																	IRSNB M 0165								6th toracic vertebra														Halitherium schinzii forme delheidi	part-A													
					Plesiotype						IRSNB M 0166a-b			17172																	IRSNB M 0173a-c								M 166a: talus (astragale); M 166b: calcaneum														Trichecodon koninckii	part-A													
					Figured specimen						IRSNB M 0167			17172																	IRSNB M 0167								L Dentary with P/3-M/2														Cymbalophus cuniculus	part-A													
					Holotype						IRSNB M 0168			17172																	IRSNB M 0891								R dentary														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0169			17172																	IRSNB M 0891								skull fragment														Trichechus antverpiensis	part-A													
					Plesiotype						IRSNB M 0170			17172																	IRSNB M 0891								L humeri														Alachtherium cretsii	part-A													
					Plesiotype						IRSNB M 0171			17172																	IRSNB M 0891								R femur														Alachtherium cretsii	part-A													
					Holotype						IRSNB M 0172			17172																	IRSNB M 0172								rostrale region of a skull														Protophocaena minima	part-A													
					Cotype						IRSNB M 0173a-c			17172																	IRSNB M 0173a-c								"M 173a: molar; M 173b: molar, M 173c: molar; + two other isolated teeth numbered 1151"														Mesotaria ambigua	part-A													
					Cotype						IRSNB M 0174			17172																	IRSNB M 0174								Axis														Mesotaria ambigua	part-A													
					Cotype						IRSNB M 0175			17172																	IRSNB M 0175								cervical vertebra														Mesotaria ambigua	part-A													
					Cotype						IRSNB M 0176			17172																	IRSNB M 0176								L scapula														Mesotaria ambigua	part-A													
					Cotype						IRSNB M 0177			17172																	IRSNB M 0240a-f								L humerus														Mesotaria ambigua	part-A													
					Cotype						IRSNB M 0178			17172																	IRSNB M 0200								R ilium														Mesotaria ambigua	part-A													
					Cotype						IRSNB M 0179			17172																	IRSNB M 0240a-f								Left femur														Mesotaria ambigua	part-A													
					Cotype						IRSNB M 0180			17172																	IRSNB M 0240a-f								L tibia														Mesotaria ambigua	part-A													
