UnitID	AcquisitionYear	AcquisitionMonth	AcquisitionDay	Original_aquisition_date	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update	xylotheek_ID	xylotheek_kast	xylotheek_legger	xylotheek_remarks	Locality_on_Google_Maps	Density															
Tw10086	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10087	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10088	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10089	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10090	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10091	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10092	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10093	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10094	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10095	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10096	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10097	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10098	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10099	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10100	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10101	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10102	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10103	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10104	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10105	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10106	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10107	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10108	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10109	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10110	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10111	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10112	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10113	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10114	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10115	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10116	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10117	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10118	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10119	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10120	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10121	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10122	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10123	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10124	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10125	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10126	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10127	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10128	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10129	1960	12	2									indet																						CAPA	spare collection (basement)																							
Tw10130	1960	12	2							SN415	Afzelia quanzensis Oliv.	accepted																						CAPA	spare collection (basement)																							
Tw10131	1960	12	2							SN2687	Chlorophora excelsa (Welw.) Benth.	synonym	Milicia excelsa																					CAPA	spare collection (basement)																							
Tw10132	1960	12	16									indet																						CAPA	spare collection (basement)																							
Tw10133	1961	3	1							SN8780	Ongokea gore (Hua) Pierre	accepted																						CAPA	spare collection (basement)																							
Tw10134	1961	3	1									indet																						CAPA	spare collection (basement)																							
Tw10135	1961	3	1							SN6862	Klainedoxa 	indet - genus																						CAPA	spare collection (basement)																							
Tw10136	1961	3	1							SN8174	Mitragyna 	indet - genus																						CAPA	spare collection (basement)																							
Tw10137	1961	3	1		Dechamps, Roger			718b	220	SN4424	Drypetes paxii Hutch.	accepted		Africa	Congo, Democratic Republic of the	Kasai	Bena Longo	1	1	1		3 | 15	coupe | sample	drawer | xylotheek cabinet	9 | 3									CAPA	Xylarium ground floor	Xylarium ground floor		3532	15	3																		
Tw10138	1961	3	1		Dechamps, Roger			718	210	SN11969	Strombosia glaucescens Engl.	synonym	Strombosia pustulata	Africa	Congo, Democratic Republic of the	Kasai		1	1	1		7	coupe	drawer	7									CAPA	spare collection (basement)	Victor	26/04/2016																					
Tw10139	1961	3	15		Dechamps, Roger			720	212	SN6063	Heisteria parvifolia Sm.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		7 | 34	coupe | sample	drawer | xylotheek cabinet	5 | 1									CAPA	Xylarium ground floor	Xylarium ground floor		9167	34	1			0,837046632															
Tw10140	1961	3	15		Dechamps, Roger			725	217	SN12813	Tridesmostemon stipulaceum 	uncertain	Tridesmostemon stipulaceum	Africa	Congo, Democratic Republic of the	Kasai		2	2	2		8 | 44	coupe | sample	drawer | xylotheek cabinet	10 | 3									CAPA	Xylarium ground floor	Xylarium ground floor		11449	44	3																		
Tw10141	1961	3	15		Dechamps, Roger			732	225	SN6395	Hymenostegia mundungu (Pellegr.) Léonard	accepted		Africa	Congo, Democratic Republic of the	Kasai		2	2	2		4 | 23	coupe | sample	drawer | xylotheek cabinet	31 | 1									CAPA	Xylarium ground floor	Xylarium ground floor		5789	23	1																		
Tw10142	1961	3	15		Dechamps, Roger			716	208	SN2446	Cavacoa quintasii (Pax & K. Hoffm.) J. Leonard 	accepted		Africa	Congo, Democratic Republic of the	Kasai		2	2	2		3 | 14	coupe | sample	drawer | xylotheek cabinet	5 | 6									CAPA	Xylarium ground floor	Xylarium ground floor		3440	14	6			0,817233673															
Tw10143	1961	3	15		Dechamps, Roger					SN5832	Grossera macrantha Pax	accepted		Africa	Congo, Democratic Republic of the	Kasai		2	2	2	1	3 | 15	coupe | sample	drawer | xylotheek cabinet	10 | 4									CAPA	Xylarium ground floor	Xylarium ground floor		3592	15	4			0,778460278															
Tw10144	1961	3	15		Dechamps, Roger					SN6169	Hexalobus crispiflorus A. Rich.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		1	coupe	drawer	13									CAPA	spare collection (basement)																							
