UnitID	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update	xylotheek_ID	xylotheek_kast	xylotheek_legger	xylotheek_remarks	Locality_on_Google_Maps	Density															
Tw50035	Dechamps, Roger				12540	SN3499	Crescentia cujete L.	accepted		North America	Cuba	Cienfuegos																		CAPA	spare collection (basement)																							
Tw50036	Dechamps, Roger				12543	SN3025	Coccothrinax argentea (Lodd. ex Schult. & Schult. f.) Sarg. ex Becc.	accepted		North America	Cuba	Cienfuegos																		CAPA	spare collection (basement)																							
Tw50037	Dechamps, Roger				12546			indet		North America	Cuba	Cienfuegos																		CAPA	spare collection (basement)																							
Tw50038	Dechamps, Roger				12541	SN11095	Sabal parviflora Becc.	synonym	Sabal palmetto	North America	Cuba	Cienfuegos																		CAPA	spare collection (basement)																							
Tw50039	Dechamps, Roger				12544	SN1016	Arikuryroba schizophylla (Mart.) L.H. Bailey	synonym	Syagrus schizophylla	North America	Cuba	Cienfuegos																		CAPA	spare collection (basement)																							
Tw50040	Dechamps, Roger				12548	SN2664	Chenopodium berlandieri Moq.	accepted		North America	Cuba	La Habana																		CAPA	Xylarium ground floor	Xylarium ground floor		1985	8	2																		
Tw50041								indet																						CAPA	spare collection (basement)																							
Tw50042								indet																						CAPA	spare collection (basement)																							
Tw50043								indet																						CAPA	spare collection (basement)																							
Tw50044								indet																						CAPA	spare collection (basement)																							
Tw50045								indet																						CAPA	spare collection (basement)																							
Tw50046								indet																						CAPA	spare collection (basement)																							
Tw50047								indet																						CAPA	spare collection (basement)																							
Tw50048								indet																						CAPA	spare collection (basement)																							
Tw50049								indet																						CAPA	spare collection (basement)																							
Tw50050								indet																						CAPA	spare collection (basement)																							
Tw50051								indet																						CAPA	spare collection (basement)																							
Tw50052								indet																						CAPA	spare collection (basement)																							
Tw50053								indet																						CAPA	spare collection (basement)																							
Tw50054								indet																						CAPA	spare collection (basement)																							
Tw50055								indet																						CAPA	spare collection (basement)																							
Tw50056	Dechamps, Roger				12562	SN3011	Coccoloba grandifolia Jacq.	accepted		North America	Cuba	Pinar del Rio																		CAPA	Xylarium ground floor	Xylarium ground floor		9488	35	3																		
Tw50057								indet																						CAPA	spare collection (basement)																							
Tw50058								indet																						CAPA	spare collection (basement)																							
Tw50059	Jardín Botánico de Holguin					SN3763	Cyrtopodium punctatum (L.) Lindl.	accepted		North America	Cuba	Holguin																		CAPA	Xylarium ground floor	Xylarium ground floor		12825	49	5																		
Tw50060	Crown, R.C.					SN9833	Podocarpus andinus Poepp. & Endl.	synonym	Prumnopitys andina	Europe	United Kingdom	England																		CAPA	spare collection (basement)																							
Tw50061	Crown, R.C.					SN3783	Dacrydium franklinii Hook. f.	synonym	Lagarostrobos franklinii	Oceania	Australia	Tasmania																		CAPA	spare collection (basement)																							
Tw50062	Crown, R.C.					SN7238	Lindera megaphylla Hemsl.	accepted		Asia	China																			CAPA	Xylarium ground floor	Xylarium ground floor		5022	20	5																		
Tw50063	Crown, R.C.					SN7529	Machaerium scleroxylum Allemão	accepted provisionally	Machaerium scleroxylum	South America	Brazil																			CAPA	spare collection (basement)																							
Tw50064	Crown, R.C.					SN3218	Copaifera officinalis (Jacq.) L.	accepted		South America	Trinidad and Tobago	Trinidad																		CAPA	spare collection (basement)																							
Tw50065	Crown, R.C.					SN9398	Phyllocladus aspleniifolius (Labill.) Hook. f.	uncertain	Phyllocladus aspleniifolius	Oceania	Australia	Tasmania																		CAPA	spare collection (basement)																							
Tw50066	Crown, R.C.					SN7911	Meliosma beaniana Rehder & E.H. Wilson	uncertain	Meliosma beaniana	Asia	China																			CAPA	Xylarium ground floor	Xylarium ground floor		7892	30	2																		
Tw50067	Crown, R.C.					SN3863	Dalbergia stevensonii Standl.	accepted		North America	Belize																			CAPA	spare collection (basement)																							
Tw50068	Crown, R.C.					SN12513	Tetraclinis articulata (Vahl) Mast.	accepted		Africa	Algeria																			CAPA	Xylarium ground floor	Xylarium ground floor		13157	51	3																		
Tw50069	Crown, R.C.					SN8155	Mimusops maxima (Poir.) Vaughan	synonym	Mimusops balata	Africa	Réunion	Réunion																		CAPA	Xylarium ground floor	Xylarium ground floor		11296	43	6																		
Tw50070	Crown, R.C.					SN4576	Elaeodendron orientale J. Jacq.	accepted		Africa	Mauritius																			CAPA	Xylarium ground floor	Xylarium ground floor		1880	7	6																		
Tw50071	Crown, R.C.					SN10410	Pterospermum canescens Roxb.	accepted provisionally	Pterospermum canescens	Asia	Sri Lanka																			CAPA	spare collection (basement)																							
Tw50072	Crown, R.C.					SN8577	Nothofagus cliffortioides (Hook.f.) Oerst. 	accepted		Europe	United Kingdom																			CAPA	spare collection (basement)																							
Tw50073	Crown, R.C.					SN10594	Quercus lamellosa Sm.	accepted		Europe	United Kingdom	England																		CAPA	spare collection (basement)																							
Tw50074	Crown, R.C.					SN11206	Salvadora persica L.	accepted		Asia	Sri Lanka																			CAPA	Xylarium ground floor	Xylarium ground floor		10942	42	4																		
Tw50075	Crown, R.C.					SN14	Abies delavayi Franch.	accepted		Europe	United Kingdom	England																		CAPA	Xylarium ground floor	Xylarium ground floor		13186	51	4																		
Tw50076	Crown, R.C.					SN7622	Magnolia salicifolia (Siebold & Zucc.) Maxim.	accepted		Europe	United Kingdom	England																		CAPA	Xylarium ground floor	Xylarium ground floor		7286	28	1																		
Tw50077	Crown, R.C.					SN5134	Euonymus lucidus D. Don 	uncertain	Euonymus lucidus	Europe	United Kingdom	England																		CAPA	Xylarium ground floor	Xylarium ground floor		1888	7	7																		
Tw50078	Crown, R.C.					SN427	Agathis philippinensis Warb.	accepted		Asia	Philippines																			CAPA	spare collection (basement)																							
Tw50079	Crown, R.C.			46		SN213	Acer francheti Pax	synonym	Acer sterculiaceum	Europe	United Kingdom	England																		CAPA	Xylarium ground floor	Xylarium ground floor		58	1	2																		
Tw50080	Crown, R.C.					SN5027	Eucryphia cordifolia Cav.	uncertain	Eucryphia cordifolia	Europe	United Kingdom	England																		CAPA	spare collection (basement)																							
Tw50081	Crown, R.C.					SN10471	Pyrus amygdaliformis Vill. 	accepted		Europe	United Kingdom	England																		CAPA	spare collection (basement)																							
Tw50082	Crown, R.C.					SN2564	Centrolobium robustum (Vell.) Mart. ex Benth.	accepted		Europe	United Kingdom	England																		CAPA	spare collection (basement)																							
