sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
IRSNB M 0278a-b	Europe	Belgium						Antwerp Province, Merxplas°'																					BE																																					
IRSNB M 0286	Europe	Belgium						Dormaal, Orsmael (Pl.33, pt.1), Brabant flamand°'																					BE																																					
IRSNB M 0291	Europe	Belgium						Antwerp Province, Anvers, Vieux-Dieu°'																					BE																	4eme section																				
IRSNB M 0292a-d	Europe	Belgium						Antwerp Province, Anvers, 3th section°'																					BE																	4eme section																				
IRSNB M 0293	Europe	Belgium						Antwerp Province, Anvers°'																					BE																	4eme section																				
IRSNB M 0360a-e	Europe	Belgium						Antwerp Province, Antwerpen, Oude God (Vieux-Dieu, fort), Mortsel°'																					BE																																					
IRSNB M 0374	Europe	Belgium						Antwerp Province, Antwerpen°'																					BE																	2eme section																				
IRSNB M 0379a-b	Europe	Belgium						Antwerp Province, Antwerpen, 2nd section, partie du Stuyvenberg°'																					BE																																					
IRSNB M 0399a-g	Europe	Belgium						Antwerp Province, Kessel, Antwerp, (fort)°'																					BE																																					
IRSNB M 0402	Europe	Belgium						Antwerp Province, Antwerpen, Eeckeren, Darse 3, Mur Nord, cumulée 1080 cote 8,9 cm°'																					BE																																					
IRSNB M 0403	Europe	Belgium						Antwerp Province, Anvers°'																					BE																	polder de Steenborgweert																				
