sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
IRSNB M 1874	Europe	Belgium						Antwerp Province, Antwerp area°'																					BE																																					
IRSNB M 1877	Europe	Belgium						Deurne, eastern suburbs of Antwerp°'																					BE																	Deurne Sands Member, Diest Formation																				
IRSNB M 1880	Europe	Belgium						Antwerp Province, Antwerp area°'																					BE																	"crag gris"""""																				
IRSNB M 1882	Europe	Belgium						"Antwerp Province, Antwerpen, ""bassins du port""°'"																					BE																	probably Deurne Sands																				
IRSNB M 1890	Europe	Belgium						Antwerpen area, Doel (near the Indaver factory)°'																					BE																	Neogene sands																				
IRSNB M 1891	Europe	Belgium						Antwerpen area, Doel°'																					BE																	Neogene sands																				
IRSNB M 2012a-h	Europe	Belgium						Antwerp Province, Antwerpen area°'																					BE																	Antwerpen sand																				
IRSNB M 1896	Europe	Belgium						Antwerp Province, Borgerhout°'																					BE																	Antwerpen sand																				
IRSNB M 1898	Europe	Belgium						Antwerp Province, Kessel°'																					BE																	Antwerpen sand																				
IRSNB M 1903	Europe	Belgium						Vlaams-Brabant Province, Hoogbutsel°'																					BE																	Borgloon Formation																				
IRSNB M 1905	Europe	Belgium						Vlaams-Brabant Province, Boutsersem TGV°'																					BE																	Borgloon Formation																				
IRSNB M 1922	Europe	Belgium						Antwerp Province, Eastern wall of Vrasene Dock, Kallo, western bank of Schelde River, (51°15'N-04°14'E)°'																					BE																	Kattendijk Formation, aboute 6 m above the basis																				
IRSNB M 1923	Europe	Belgium						Antwerp Province, sands dredged from the Scheldt estuary°'																					BE																																					
IRSNB M 1924	Europe	Belgium						Antwerp Province, sands removed from the Liefkenshoektunnel°'																					BE																																					
IRSNB M 1925	Europe	Belgium						Antwerp Province, no presice locality°'																					BE																																					
IRSNB M 1926	Europe	Belgium						Antwerp Province, sands dredged from Doeldok, Antwerp Port°'																					BE																																					
IRSNB M 1929	Europe	Belgium						Vlaams-Brabant Province, Boutersem (Hoogbutsel), site du TGV°'																					BE																	Membre de Boutersem																				
IRSNB M 1936	Europe	Belgium						Antwerp Province, Kessel, Fort of Kessel°'																					BE																	Berchem Formation, Antwerpen Sands																				
IRSNB M 1937	Europe	Belgium						Antwerp, 3ième section of the inner fortification ring around Antwerp°'																					BE																	Diest Formation, Deurne Sands Member																				
IRSNB M 1938a-b	Europe	Belgium						Namur Province, Trou des Nutons, Furfooz (1N)°'																					BE																	1er niveau ossifère																				
IRSNB M 1939	Europe	Belgium						Namur Province, Goyet, 3ième caverne°'																					BE																	4ième niveau ossifère, niveau B4																				
IRSNB M 1941	Europe	France						Mont de Berru, Marne°'																					FR																	Paris Basin																				
IRSNB M 1945	Europe	Belgium						Hainin, Mons Basin, Hainaut Province°'																					BE																	Hainin Formation																				
IRSNB M 2010	Europe	The Netherlands						"Western Scheedt estuary; in front of Nieuwvliet-Cadzand; Sluische Hompels, N51°26'40,30"" E3°25'02""°'"																																						dragned sands																				
IRSNB M 2011	Europe	Belgium						Antwerp Province, Berchem, Williostraat°'																					BE																	Berchem Formation, Antwerp Sands Member, Turritella eryma horizon																				
IRSNB M 2013	North America	United States of America						Meherrin River, Murfreesboro, Hertford County, NC, USA°'																					US																	?Eastover Formation																				
IRSNB M 2015	Europe	Belgium						Province d'Anvers, Antwerpen area°'																					BE																	Antwerp basin																				
IRSNB M 2017	Europe	Belgium						Maret, Brabant Wallon°'																					BE																	Orp Sand Member, Heers Formation																				
IRSNB M 2020	Europe	Belgium						Maret, Brabant Wallon°'																					BE																	Lincent Limestone Member, Hannut Formation																				
IRSNB M 2057	Europe	Belgium						Vlaams-Brabant Province, Hoogbutsel, localité type°'																					BE																	Borgloon Formation, Boutersem Member																				
IRSNB M 2058	Europe	Belgium						Vlaams-Brabant Province, Boutsersem TGV°'																					BE																																					
IRSNB M 2096	Europe	France						Berru, Bassin de Paris°'																					FR																																					
IRSNB M 2119	Europe	Belgium						Erquelinnes, Mons Basin, Hainaut°'																					BE																																					
IRSNB M 2143	Europe	Belgium						Erquelinnes, Mons Basin, Hainaut°'																					BE																	Tienen Formation																				
IRSNB M 2150	Europe	Belgium						Egem, West Flanders Province°'																					BE																	Tielt Formation, Egemkapel Member																				
IRSNB M 2169	Europe	Belgium						Antwerp Province, Antwerpen area°'																					BE																																					
IRSNB M 2171	Europe	Belgium						Antwerp Province, Antwerpen area, Beverentunnel°'																					BE																	Kattendijk Formation																				
IRSNB M 2232	Europe	Belgium						Anvers°'																					BE																																					
IRSNB M 2234	Europe	Belgium						Anvers, Posthofbrug°'																					BE																	Berchem Formation																				
IRSNB M 2235	North America	United States of America						Lee Creek Mine, Aurora, North Carolina°'																					US																	(?) Yorktown Formation																				
IRSNB M 2236	North America	United States of America						North Carolina, Lee Creek Mine°'																					US																	Formation Yorktown																				
IRSNB M 2238	Europe	Belgium						Namur Province, Walzin, Pont-à-Lesse, Trou Magrite°'																					BE																																					
IRSNB M 2268	Europe	Belgium						Anvers, Rumst or Steendorp.°'																					BE																	Pliocene basal gravel																				
IRSNB M 2269	Europe	Belgium						Anvers, Borgerhout°'																					BE																	Deurne Sands Member (Diest Formation)																				
IRSNB M 2271	Europe	Belgium						Anvers, Swenden brickyard, Rumst-Reet°'																					BE																	Pliocene basal gravel, Kattendijk Formation																				
IRSNB M 2272	Europe	Belgium						Anvers, Antwerp Airport°'																					BE																	unnamed 'Layer V' between the underlying Antwerpen Sands of the Berchem Formation and the overlying Deurne Sands of the Diest Formation																				
IRSNB M 2276 a-q	Europe	Belgium						Anvers, Berchem District°'																					BE																	North of the Zurenborgbrug and between the R10 road and E19 highway, Berchem District																				
IRSNB M 2277	Europe	Belgium						Anvers, Kessel°'																					BE																																					
IRSNB M 2281	Europe	Belgium						Namur Province, Hastière-Lavaux, Caverne Marie-Jeanne, 5th level°'																					BE																	A et B																				
IRSNB M 2283	Europe	Belgium						Namur Province, Hastière-Lavaux, Caverne Marie-Jeanne, 5th level°'																					BE																	sup. A																				
IRSNB M 2288	Europe	Belgium						Namur Province, Hastière-Lavaux, Caverne Marie-Jeanne, 5th level°'																					BE																	Couche de la voûte																				
IRSNB M 2289	Europe	Belgium						Namur Province, Hastière-Lavaux, Caverne Marie-Jeanne, 4N°'																					BE																	Couche de la voûte																				
IRSNB M 2290	Europe	Belgium						Namur Province, Hastière-Lavaux, Caverne Marie-Jeanne, 4N°'																					BE																	Terre Jaune en-dessous de la concrétion																				
IRSNB M 2292	Europe	Belgium						Namur Province, Hastière-Lavaux, Caverne Marie-Jeanne, 3rd level°'																					BE																																					
IRSNB M 2300	Europe	France						Cernay, Haut-Rhin°'																					FR																	Paris Basin																				
IRSNB M 2303	Europe	Belgium						East Flanders Province, Steendorp°'																					BE																	post-Miocene base gravel																				
IRSNB M 2308	Europe	Belgium						Antwerp Province, Anvers, bassin canal (Bassin Lefèvre)°'																					BE																	membres des Sables d'Oorderen ou Sables de Kruisschans, Formation Lillo																				
IRSNB M 2309	Europe	Belgium						aéroport de Deurne, Antwerp Province°'																					BE																	couche entre Antwerpen Sands Member et Deurne Sands Member																				
IRSNB M 2314	Asia	Yemen						Hoq Cave, Socotra Island°'																					YE																																					
IRSNB M 2315	Europe	Belgium						"Wommelgem (geographic co-ordinates: 51°12'27,75""N and 4°30'25,52""E), Province d'Anvers°'"																					BE																																					
IRSNB M 2316	Europe	Belgium						Province d'Anvers, port d'Anvers, Deurganckdoksluis (Kallosluis), Sables de Oorderen°'																					BE																																					
IRSNB M 2318	Europe	Belgium						Deurganckdok, Province d'Anvers°'																					BE																	Basal gravel of Kattendijk Sands																				
IRSNB M 2319	Europe	Belgium						Borsbeek (Airport tunnel), Province d'Anvers°'																					BE																	Reworked Lillo Formation																				
IRSNB M 2320	Europe	Belgium						Fortuinstraat, former fish market, Antwerp, Province d'Anvers°'																					BE																	Post Miocene basal gravel (‘derived Lillo formation’)																				
IRSNB M 2321	North America	United States of America						Lee Creek Mine, Aurora, North Carolina°'																					US																	Yorktown Formation, River deposit																				
IRSNB M 2323	Europe	Belgium						Province de Flandre Orientale, Sint-Niklaas, “De Ster”°'																					BE																	Post Oligocene basal gravel																				
IRSNB M 2325	Europe	Belgium						Province d'Anvers, Kieldrecht Lock (previously known as Deurganckdoksluis, Port of Antwerp area)°'																					BE																	Formation de Lillo																				
IRSNB M 2326	Europe	France						Pech de fraysse°'																					FR																																					
IRSNB M 2330	Europe	Belgium						Province de Flandre Orientale, Deurganck Dock, Doel°'																					BE																	Kattendijk Formation																				
