TaxonID	FullScientificName	Kingdom	Class	Order	Genus	species	author_team_and_year 	Family	referenceString	BasionymName	identificationNotes	AcceptedName	view_taxon	Synonymy_info
SN17246	Spirotheca rivieri	Plantae	Magnoliopsida	Malvales	Spirotheca	rivieri	(Decne.) Ulbr.	Malvaceae	Notizblatt des Botanischen Gartens und Museums zu Berlin-Dahlem 6: 162. 1914.	"Eriodendron rivieri Decne.; Annales Générales d'Horticulture 12: 167. 1877."		this name is accepted		Eriodendron rivieri Decne.
SN11855	Spondianthus preussii	Plantae	Magnoliopsida	Malpighiales	Spondianthus	preussii	Engl.	Phyllanthaceae	Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 36: 216. 1905.			this name is accepted		"Megabaria trillesii Pierre ex Hutchinson;Megabaria ugandensis Hutch."
SN11856	Spondias cytherea	Plantae	Magnoliopsida	Sapindales	Spondias	cytherea	Sonn.	Anacardiaceae				this name is accepted		
SN11857	Spondias dulcis	Plantae	Magnoliopsida	Sapindales	Spondias	dulcis	Parkinson	Anacardiaceae	Journal of a voyage to the South Seas 39. 1773.			this name is accepted		Spondias cytherea Sonn.
SN11858	Spondias lakonensis	Plantae	Magnoliopsida	Sapindales	Spondias	lakonensis	Pierre	Anacardiaceae	Flore Forestière de la Cochinchine 5: t. 375. 1898.			this name is accepted		
SN11859	Spondias mombin	Plantae	Magnoliopsida	Sapindales	Spondias	mombin	L.	Anacardiaceae	Species Plantarum 1: 371. 1753.		"as ""Mombin"" "	this name is accepted		"Spondias aurantiaca Schumach. & Thonn.;Spondias axillaris Roxb.;Spondias cythera Tussac;Spondias dubia A. Rich.;Spondias graveolens Macfad.;Spondias lucida Salisb.;Spondias lutea L.;Spondias lutea var. glabra Engl.;Spondias lutea var. maxima Engl.;Spondias myrobalunus L.;Spondias nigrescens Pittier;Spondias oghigee G. Don;Spondias pseudomyrobalanus Tussac;Spondias purpurea var. venulosa Engl.;Spondias radlkoferi Donn. Sm.;Spondias venulosa (Engl.) Engl.;Spondias zanzee G. Don"
SN11860	Spondias pinnata	Plantae	Magnoliopsida	Sapindales	Spondias	pinnata	(L. f.) Kurz	Anacardiaceae	Prelim. Rep. For. et Veg. Pegu. Append. A. 44, app. B. 42. 1875. 	"Mangifera pinnata L. f.; Supplementum Plantarum 156. 1781 [1782]."		this name is accepted		"Mangifera pinnata L. f. ;Poupartia pinnata (L. f.) Blanco;Spondias acuminata Roxb.;Spondias mangifera Willd."
SN11861	Spondias purpurea	Plantae	Magnoliopsida	Sapindales	Spondias	purpurea	L.	Anacardiaceae	Species Plantarum, Editio Secunda 613. 1762.	     		this name is accepted		"Spondias cirouella Tussac;Spondias crispula Beurl.;Spondias mexicana S. Watson;Spondias mombin L.;Spondias myrobalanus Jacq.;Spondias myrobalanus L.;Spondias purpurea var. munita I.M. Johnst.;Warmingia pauciflora Engl."
SN11862	Spondias spec.	Plantae	Magnoliopsida	Sapindales	Spondias			Anacardiaceae				NDN		
SN15341	Spondias tuberosa	Plantae	Magnoliopsida	Sapindales	Spondias	tuberosa	Arruda	Anacardiaceae	Travels in Brazil 496. 1816.		"As ""Spondia""; nom. subnud.? (jp-2004) "	this name is accepted		
SN11863	Spongiosperma oleifolium	Plantae	Magnoliopsida	Gentianales	Spongiosperma	oleifolium	(Monach.) Zarucchi	Apocynaceae	Agricultural University Wageningen Papers 87(1): 62. 1987 [1988].	"Ambelania oleifolia Monach.; Memoirs of the New York Botanical Garden 10(1): 117-119, f. 14a-d. 1958. "		this name is accepted		"Ambelania lanceolata Markgr.;Ambelania oleifolia Monach. "
