Taxon_Notes	IdentifiedBy	IdentificationDay	IdentificationMonth	IdentificationYear	TypeStatus	Identification_Notes	ParasiteSpecies	ParasiteIdentifier	HostSpecies	HostIdentifier	UnitID	additionalID	collection_imported	accessionNumber	label_created_by	media_files	Notes	acquisitionType 	acquiredFrom	acquisitionDay	acquisitionMonth	acquisitionYear	Acquisition_Notes	sex	lifeStage	maleCount	femaleCount	juvenileCount	totalNumber	notes_Counts	sampling_code	institution	building	floor	room	row	column	shelf	specimen_status	KindOfUnit 	ContainerName	ContainerType	ContainerStorage	SubcontainerName	SubcontainerType	SubcontainerStorage	StorageNotes	DNA_Tag	DNA_box	DNA_tube	DNA_HPos	DNA_VPos	DNA_Notes	FullScientificName	secondary	collectedBy	samplingMethod	expedition_project	collectionStartDay	collectionStartMonth	collectionStartYear	collectionStartTimeH	collectionStartTimeM	collectionEndDay	collectionEndMonth	collectionEndYear	collectionEndTimeH	collectionEndTimeM	geologicalEpoch
					Cotype						IRSNB M 0003			8793																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								R m/4														Peratherium constans	part-A														Continental Landenian
					Cotype						IRSNB M 0004			8685																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								left maxillary fragment (P3/)														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0005			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								molar or P4/														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0006			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								molar or P4/														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0007			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								molar or P4/														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0008			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								molar or P4/														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0009			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								"fragment of left tooth with P/1, P/2, P/3 and root of P/4 but on 03/08/2010 P/3 is missing."														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0010			8664																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								fragmentary dental (M/3)														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0011			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								fragment de dentaire														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0012			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								upper right molar														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0013			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								upper right molar														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0014			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								upper molar (M1/)														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0015			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								upper right double metaconcule molar (R M1/)														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0016			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								molaire supérieure droite à métaconule double														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0017			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								right upper double metaconcule molar														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0018			8685																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								molaire supérieure (M2/)														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0019			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								"left dental, missing 2 teeth"														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0020			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								fragment of straight tooth with M3 and M2 (R M/2-3)														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0021			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								fragmentary right dental white Pm2 et Pm3														Paschaterium dolloi	part-A														Continental Landenian
					Lectotype						IRSNB M 0022			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								"right dental with P3/, P4/ and M2/"														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0023			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								prémolaire inférieure														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0024			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								prémolaire inférieure														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0025			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								prémolaire inférieure														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0026			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								lower premolar (P/2)														Paschaterium dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0027			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								lower premolar														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0028			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Lower incisor														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0029			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Canine ?														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0030			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Canine ?														Adapisorex dolloi	part-A														Continental Landenian
					Cotype						IRSNB M 0031			8818																	IRSNB M 0003	Royal Belgian Institute of Natural Sciences								Canine ?														Adapisorex dolloi	part-A														Continental Landenian
