sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
TEST_MERGEIRSNB M 0533	Europe	Belgium						Antwerp Province, Antwerpen, nouvelle enceinte,  3th section. Canal d'Hersentals°'																					BE																																					
TEST_MERGEIRSNB M 0534	Europe	Belgium						Antwerp Province, Antwerpen, Mortsel, Oude God (Vieux-Dieu), fort n°4°'																					BE																																					
TEST_MERGEIRSNB M 0539	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section°'																					BE																	"crag gris"""""																				
TEST_MERGEIRSNB M 0542	Europe	Belgium						Antwerp Province, Antwerpen°'																					BE																	"crag gris"""""																				
TEST_MERGEIRSNB M 0543	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section°'																					BE																	"crag noir"""""																				
TEST_MERGEIRSNB M 0606	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, nouveau canal d'Hérenthals°'																					BE																																					
TEST_MERGEIRSNB M 0556	Europe	Belgium						Antwerp Province, Antwerpen, 4th section, sables noirs à Pétoncles°'																					BE																																					
TEST_MERGEIRSNB M 0566	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, sables noirs à Pétoncles°'																					BE																																					
TEST_MERGEIRSNB M 0559a-c	Europe	Belgium						Antwerp Province, Antwerpen, fort n°4, sables noirs à Pétoncles°'																					BE																																					
TEST_MERGEIRSNB M 0562	Europe	Belgium						Antwerp Province, Antwerpen, fort n°3, sables noirs à Pétoncles°'																					BE																																					
TEST_MERGEIRSNB M 0563a-b	Europe	Belgium						Antwerp Province, Antwerpen, fort n°2, sables noirs à Pétoncles°'																					BE																																					
