"UnitID"	"additionalID"	"collection"	"label_created_by"	"Notes"	"samplingcode"	"continent"	"country"	"Province"	"Municipality"	"exact_site"	"LatitudeDMSDegrees"	"LatitudeDMSMinutes"	"LatitudeDMSSeconds"	"LatitudeDMS_N_S"	"LongitudeDMSDegrees"	"LongitudeDMSMinutes"	"LongitudeDMSSeconds"	"LongitudeDMS_W_E"	"LatitudeDecimal"	"LongitudeDecimal"	"coordinates_original"	"Sampling_PeriodOfDay"	"elevationinmeters"	"CollectedBy"	"samplingMethod"	"expedition_project"	"CollectionStartDay"	"CollectionStartMonth"	"CollectionStartYear"	"CollectionEndDay"	"CollectionEndMonth"	"CollectionEndYear"	"localityNotes"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"sub_species"	"author_team_and_year"	"IdentificationHistory1Notion"	"IdentificationHistory1Value"	"IdentificationHistory1Status"	"FullScientificName"	"Taxon_Notes"	"IdentifiedBy"	"IdentificationDay"	"IdentificationMonth"	"IdentificationYear"	"TypeStatus"	"Identification_Notes"	"DNA_Tag"	"DNA_box"	"DNA_tube"	"DNA_HPos"	"DNA_VPos"	"DNA_Notes"	"ecology_Water_temperature"	"Sampling_Hour"	"ecology_PH"	"ecology_mV"	"ecology_Conductivity"	"ecology_O2_Perc"	"ecology_O2_mg"	"ecology_hPa"	"ecology_Air_Temperature"	"ecology_Relative_Humidity"	"Ecology"	"acquisition_category"	"acquiredFrom"	"acquisitionDay"	"acquisitionMonth"	"acquisitionYear"	"Acquisition_Notes"	"sex"	"lifeStage"	"associationType"	"associatedUnitID"	"maleCount"	"femaleCount"	"juvenileCount"	"totalNumber"	"notes_Counts"	"institution"	"building"	"floor"	"room"	"row"	"column"	"shelf"	"specimen_status"	"specimen_part"	"ContainerName"	"ContainerType"	"ContainerStorage"	"SubcontainerName"	"SubcontainerType"	"SubcontainerStorage"	"StorageNotes"	"associationDomain"
"804926"	"2014_SN_PKH1C_BGL_011"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1C"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1C_BGL_011"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804927"	"2014_SN_PKH1C_BGL_010"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1C"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1C_BGL_010"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804928"	"2014_SN_PKH1_MTU_001"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Sorbeoconcha"	"Thiaridae"	"Melanoides"	"tuberculata"	""	"(Müller, 1774)"	"Taxon."	"Melanoides tuberculata  (Müller, 1774)"	""	"Melanoides tuberculata  (Müller, 1774)"	"2014_SN_PKH1_MTU_001"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804929"	"2014_SN_PKH1C_BGL_022"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1C"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1C_BGL_022"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804930"	"2014_SN_PKH2_BPF_004"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH2"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Taxon."	"Biomphalaria pfeifferi  (Krauss, 1848)"	""	"Biomphalaria pfeifferi  (Krauss, 1848)"	"2014_SN_PKH2_BPF_004"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804931"	"2014_SN_PKH2_BPF_004"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH2"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"16"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Taxon."	"Biomphalaria pfeifferi  (Krauss, 1848)"	""	"Biomphalaria pfeifferi  (Krauss, 1848)"	"2014_SN_PKH2_BPF_004"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804932"	"2014_SN_GYA2_BGL_001"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"GYA2"	"Africa"	"Senegal"	""	""	"Gaya2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2014"	"14"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_GAY2_BGL_001"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804933"	"2014_SN_PKH1C_BGL_021"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1C"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1C_BGL_021"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804934"	"2014_SN_PKH1C_BGL_023"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1C"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1C_BGL_023"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804935"	"2014_SN_PKH1C_BGL_025"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1C"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1C_BGL_025"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804936"	"2014_SN_PKH1_BGL_006"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1_BGL_006"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804937"	"2014_SN_PKH1_LNA_002"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Lymnaeidae"	"Radix"	"natalensis"	""	"(Krauss, 1848)"	"Taxon."	"Radix natalensis  (Krauss, 1848)"	""	"Radix natalensis  (Krauss, 1848)"	"2014_SN_PKH1_LNA_002"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804938"	"2014_SN_PKH1_BGL_013"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1_BGL_013"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804939"	"2014_SN_PKH1_BGL_012"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1_BGL_012"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804940"	"2014_SN_PKH1C_BGL_004"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1C"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1C_BGL_004"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"804941"	"2014_SN_PKH1_BGL_007"	""	"Kin Ho Chan"	" IG_INV2021_001 "	"PKH1"	"Africa"	"Senegal"	""	""	"Pakh1"	"16"	"24"	"136"	"N"	"15"	"48"	"424"	"W"	""	""	""	""	""	""	""	""	""	""	"2014"	"12"	"4"	"2014"	""	"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"globosus"	""	"(Morelet, 1866)"	"Taxon."	"Bulinus globosus  (Morelet, 1866)"	""	"Bulinus globosus  (Morelet, 1866)"	"2014_SN_PKH1_BGL_007"	"Pieter Morris"	""	""	"2014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"Royal Museum for Central Africa"	"CAPA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
